TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,RETENTION
1,0,0,0,985502004,unmanaged,planted,0.16873516793571
2,0,0,0,985502004,managed,planted,0.16873516793571
3,0,0,0,985503001,unmanaged,planted,0.039019787218736
4,0,0,0,985503001,managed,planted,0.039019787218736
5,0,0,0,985502003,unmanaged,planted,0.312667792760887
6,0,0,0,985502003,managed,planted,0.312667792760887
7,0,0,0,985503000,managed,planted,0.0
8,0,0,0,985502004,unmanaged,planted,0.636348922451195
9,0,0,0,985502004,managed,planted,0.636348922451195
10,0,0,0,985501003,managed,natural,0.0
11,0,0,0,985501003,managed,planted,0.0
12,0,0,0,985501001,unmanaged,planted,0.072180055466067
13,0,0,0,985501001,managed,planted,0.072180055466067
14,0,0,0,985502002,unmanaged,natural,1.0
15,0,0,0,985503000,unmanaged,planted,0.078357477120205
16,0,0,0,985503000,managed,planted,0.078357477120205
17,0,0,0,985501000,managed,planted,0.0
18,0,0,0,985502001,unmanaged,planted,0.047098576453869
19,0,0,0,985502001,managed,planted,0.047098576453869
20,0,0,0,985503000,unmanaged,planted,0.005183747640075
21,0,0,0,985503000,managed,planted,0.005183747640075
22,0,0,0,985502001,unmanaged,planted,0.03563433133463
23,0,0,0,985502001,managed,planted,0.03563433133463
24,0,0,0,985503003,unmanaged,natural,0.012651768552869
25,0,0,0,985503003,managed,natural,0.012651768552869
26,0,0,0,985503003,managed,planted,0.012651768552869
27,0,0,0,985502002,managed,natural,0.0
28,0,0,0,985502002,managed,planted,0.0
29,0,0,0,985501000,unmanaged,natural,0.233426642796551
30,0,0,0,985501000,managed,natural,0.233426642796551
31,0,0,0,985501000,managed,planted,0.233426642796551
32,0,0,0,985502003,unmanaged,natural,0.363103827872399
33,0,0,0,985502003,managed,natural,0.363103827872399
34,0,0,0,985502003,managed,planted,0.363103827872399
35,0,0,0,985503001,unmanaged,planted,0.021716329642811
36,0,0,0,985503001,managed,planted,0.021716329642811
37,0,0,0,985503000,unmanaged,natural,0.051126765252953
38,0,0,0,985503000,managed,natural,0.051126765252953
39,0,0,0,985503000,managed,planted,0.051126765252953
40,0,0,0,985503001,managed,planted,0.0
41,0,0,0,985501000,unmanaged,natural,0.040160977418181
42,0,0,0,985501000,managed,natural,0.040160977418181
43,0,0,0,985501000,managed,planted,0.040160977418181
44,0,0,0,985502006,unmanaged,natural,1.0
45,0,0,0,985501000,unmanaged,planted,0.070257584673026
46,0,0,0,985501000,managed,planted,0.070257584673026
47,0,0,0,985503000,unmanaged,planted,0.013715609060477
48,0,0,0,985503000,managed,planted,0.013715609060477
49,0,0,0,985502007,unmanaged,natural,0.15574384272789
50,0,0,0,985502007,managed,natural,0.15574384272789
51,0,0,0,985502007,managed,planted,0.15574384272789
52,0,0,0,985502001,managed,planted,0.0
53,0,0,0,985503000,unmanaged,planted,0.002922493730192
54,0,0,0,985503000,managed,planted,0.002922493730192
55,0,0,0,985503003,unmanaged,natural,0.251558210846959
56,0,0,0,985503003,managed,natural,0.251558210846959
57,0,0,0,985503003,managed,planted,0.251558210846959
58,0,0,0,985501001,managed,natural,0.0
59,0,0,0,985501001,managed,planted,0.0
60,0,0,0,985501003,unmanaged,natural,0.535334842390537
61,0,0,0,985501003,managed,natural,0.535334842390537
62,0,0,0,985501003,managed,planted,0.535334842390537
63,0,0,0,985502003,managed,natural,0.0
64,0,0,0,985502003,managed,planted,0.0
65,0,0,0,985503000,unmanaged,planted,0.002780536682327
66,0,0,0,985503000,managed,planted,0.002780536682327
67,0,0,0,985501000,managed,natural,0.0
68,0,0,0,985502004,unmanaged,planted,0.078474300815519
69,0,0,0,985502004,managed,planted,0.078474300815519
70,0,0,0,985501001,unmanaged,planted,0.11179493551675
71,0,0,0,985501001,managed,planted,0.11179493551675
72,0,0,0,985503003,managed,natural,0.0
73,0,0,0,985503003,managed,planted,0.0
74,0,0,0,985502002,unmanaged,natural,0.622292530338833
75,0,0,0,985502002,managed,natural,0.622292530338833
76,0,0,0,985502002,managed,planted,0.622292530338833
77,0,0,0,985502004,unmanaged,planted,0.669361158093132
78,0,0,0,985502004,managed,planted,0.669361158093132
79,0,0,0,985502004,unmanaged,planted,0.323276471740178
80,0,0,0,985502004,managed,planted,0.323276471740178
81,0,0,0,985501001,unmanaged,planted,0.118241901763841
82,0,0,0,985501001,managed,planted,0.118241901763841
83,0,0,0,985502002,unmanaged,natural,0.05901195244641
84,0,0,0,985502002,managed,natural,0.05901195244641
85,0,0,0,985502002,managed,planted,0.05901195244641
86,0,0,0,985502008,unmanaged,natural,1.0
87,0,0,0,985503000,managed,natural,0.0
88,0,0,0,985502002,unmanaged,natural,0.008529513841898
89,0,0,0,985502002,managed,natural,0.008529513841898
90,0,0,0,985502002,managed,planted,0.008529513841898
91,0,0,0,985503000,unmanaged,planted,0.37805033108237
92,0,0,0,985503000,managed,planted,0.37805033108237
93,0,0,0,985503000,unmanaged,planted,0.301059827322216
94,0,0,0,985503000,managed,planted,0.301059827322216
95,0,0,0,985501000,unmanaged,planted,0.065632556383859
96,0,0,0,985501000,managed,planted,0.065632556383859
97,0,0,0,985502002,unmanaged,natural,8.815349E-9
98,0,0,0,985502002,managed,natural,8.815349E-9
99,0,0,0,985502002,managed,planted,8.815349E-9
100,0,0,0,985502001,unmanaged,natural,0.185306555969266
101,0,0,0,985502001,managed,natural,0.185306555969266
102,0,0,0,985502001,managed,planted,0.185306555969266
103,0,0,0,985501001,unmanaged,natural,1.0
104,0,0,0,985503000,unmanaged,planted,0.41288601818986
105,0,0,0,985503000,managed,planted,0.41288601818986
106,0,0,0,985502002,unmanaged,planted,0.131060271373049
107,0,0,0,985502002,managed,planted,0.131060271373049
108,0,0,0,985503000,unmanaged,planted,0.009838954791858
109,0,0,0,985503000,managed,planted,0.009838954791858
110,0,0,0,985503000,unmanaged,planted,0.501503843656333
111,0,0,0,985503000,managed,planted,0.501503843656333
112,0,0,0,985503003,unmanaged,natural,0.41577612678824
113,0,0,0,985503003,managed,natural,0.41577612678824
114,0,0,0,985503003,managed,planted,0.41577612678824
115,0,0,0,985502002,unmanaged,natural,0.496524483294028
116,0,0,0,985502002,managed,natural,0.496524483294028
117,0,0,0,985502002,managed,planted,0.496524483294028
118,0,0,0,985503003,unmanaged,planted,0.021319190333371
119,0,0,0,985503003,managed,planted,0.021319190333371
120,0,0,0,985502003,unmanaged,natural,0.114577179351991
121,0,0,0,985502003,managed,natural,0.114577179351991
122,0,0,0,985502003,managed,planted,0.114577179351991
123,0,0,0,985503000,unmanaged,planted,0.137471946007662
124,0,0,0,985503000,managed,planted,0.137471946007662
125,0,0,0,985501000,unmanaged,planted,0.023502626487802
126,0,0,0,985501000,managed,planted,0.023502626487802
127,0,0,0,985503000,unmanaged,natural,0.244660405199461
128,0,0,0,985503000,managed,natural,0.244660405199461
129,0,0,0,985503000,managed,planted,0.244660405199461
130,0,0,0,985503000,unmanaged,planted,0.002399085126519
131,0,0,0,985503000,managed,planted,0.002399085126519
132,0,0,0,985502007,unmanaged,natural,0.059921185690245
133,0,0,0,985502007,managed,natural,0.059921185690245
134,0,0,0,985502007,managed,planted,0.059921185690245
135,0,0,0,985502002,unmanaged,natural,0.064614573336887
136,0,0,0,985502002,managed,natural,0.064614573336887
137,0,0,0,985502002,managed,planted,0.064614573336887
138,0,0,0,985503001,unmanaged,planted,0.139985473643192
139,0,0,0,985503001,managed,planted,0.139985473643192
140,0,0,0,985501003,unmanaged,natural,0.523371138441045
141,0,0,0,985501003,managed,natural,0.523371138441045
142,0,0,0,985501003,managed,planted,0.523371138441045
143,0,0,0,985502001,unmanaged,planted,0.027884935619993
144,0,0,0,985502001,managed,planted,0.027884935619993
145,0,0,0,985502002,unmanaged,natural,0.145812434902134
146,0,0,0,985502002,managed,natural,0.145812434902134
147,0,0,0,985502002,managed,planted,0.145812434902134
148,0,0,0,985502008,unmanaged,natural,0.235604931601499
149,0,0,0,985502008,managed,natural,0.235604931601499
150,0,0,0,985502008,managed,planted,0.235604931601499
151,0,0,0,985502004,unmanaged,planted,0.677860378267464
152,0,0,0,985502004,managed,planted,0.677860378267464
153,0,0,0,985502002,unmanaged,natural,0.00608658696279
154,0,0,0,985502002,managed,natural,0.00608658696279
155,0,0,0,985502002,managed,planted,0.00608658696279
156,0,0,0,985503000,unmanaged,planted,0.017730755345828
157,0,0,0,985503000,managed,planted,0.017730755345828
158,0,0,0,985503000,unmanaged,natural,0.218430287727955
159,0,0,0,985503000,managed,natural,0.218430287727955
160,0,0,0,985503000,managed,planted,0.218430287727955
161,0,0,0,985501000,unmanaged,planted,0.432191460252795
162,0,0,0,985501000,managed,planted,0.432191460252795
163,0,0,0,985503001,unmanaged,planted,0.085236950368706
164,0,0,0,985503001,managed,planted,0.085236950368706
165,0,0,0,985502003,unmanaged,natural,0.404335621903806
166,0,0,0,985502003,managed,natural,0.404335621903806
167,0,0,0,985502003,managed,planted,0.404335621903806
168,0,0,0,985501003,unmanaged,natural,1.0
169,0,0,0,985503000,unmanaged,planted,0.083730737990059
170,0,0,0,985503000,managed,planted,0.083730737990059
171,0,0,0,985502001,unmanaged,planted,0.046376978313834
172,0,0,0,985502001,managed,planted,0.046376978313834
173,0,0,0,985502004,unmanaged,planted,0.375194149482919
174,0,0,0,985502004,managed,planted,0.375194149482919
175,0,0,0,985503003,unmanaged,natural,0.133357011532622
176,0,0,0,985503003,managed,natural,0.133357011532622
177,0,0,0,985503003,managed,planted,0.133357011532622
178,0,0,0,985503000,unmanaged,planted,0.937094640990947
179,0,0,0,985503000,managed,planted,0.937094640990947
180,0,0,0,985503003,unmanaged,planted,0.039957675177659
181,0,0,0,985503003,managed,planted,0.039957675177659
182,0,0,0,985503001,unmanaged,planted,0.039714710990275
183,0,0,0,985503001,managed,planted,0.039714710990275
184,0,0,0,985503000,unmanaged,planted,0.249311078766731
185,0,0,0,985503000,managed,planted,0.249311078766731
186,0,0,0,985501001,unmanaged,natural,0.012638401426223
187,0,0,0,985501001,managed,natural,0.012638401426223
188,0,0,0,985501001,managed,planted,0.012638401426223
189,0,0,0,985503000,unmanaged,natural,0.074732514202016
190,0,0,0,985503000,managed,natural,0.074732514202016
191,0,0,0,985503000,managed,planted,0.074732514202016
192,0,0,0,985502004,unmanaged,planted,0.419612318968428
193,0,0,0,985502004,managed,planted,0.419612318968428
194,0,0,0,985503001,unmanaged,planted,0.191414986369999
195,0,0,0,985503001,managed,planted,0.191414986369999
196,0,0,0,985503000,unmanaged,planted,0.089687730194312
197,0,0,0,985503000,managed,planted,0.089687730194312
198,0,0,0,985502003,unmanaged,planted,0.314062845816397
199,0,0,0,985502003,managed,planted,0.314062845816397
200,0,0,0,985502004,unmanaged,planted,0.27007126817254
201,0,0,0,985502004,managed,planted,0.27007126817254
202,0,0,0,985502002,unmanaged,natural,0.811866703741664
203,0,0,0,985502002,managed,natural,0.811866703741664
204,0,0,0,985502002,managed,planted,0.811866703741664
205,0,0,0,985503003,unmanaged,natural,0.044682019618681
206,0,0,0,985503003,managed,natural,0.044682019618681
207,0,0,0,985503003,managed,planted,0.044682019618681
208,0,0,0,985502004,unmanaged,planted,0.369814309573857
209,0,0,0,985502004,managed,planted,0.369814309573857
210,0,0,0,985502005,unmanaged,natural,0.172814296002002
211,0,0,0,985502005,managed,natural,0.172814296002002
212,0,0,0,985502005,managed,planted,0.172814296002002
213,0,0,0,985503003,unmanaged,natural,0.122764276767993
214,0,0,0,985503003,managed,natural,0.122764276767993
215,0,0,0,985503003,managed,planted,0.122764276767993
216,0,0,0,985502007,unmanaged,natural,0.017502923769682
217,0,0,0,985502007,managed,natural,0.017502923769682
218,0,0,0,985502007,managed,planted,0.017502923769682
219,0,0,0,985502007,unmanaged,natural,0.042340851467607
220,0,0,0,985502007,managed,natural,0.042340851467607
221,0,0,0,985502007,managed,planted,0.042340851467607
222,0,0,0,985503001,unmanaged,planted,0.010499448400033
223,0,0,0,985503001,managed,planted,0.010499448400033
224,0,0,0,985501000,unmanaged,planted,0.319242943389169
225,0,0,0,985501000,managed,planted,0.319242943389169
226,0,0,0,985501000,unmanaged,natural,0.112373758188453
227,0,0,0,985501000,managed,natural,0.112373758188453
228,0,0,0,985501000,managed,planted,0.112373758188453
229,0,0,0,985501001,unmanaged,natural,0.040181059502209
230,0,0,0,985501001,managed,natural,0.040181059502209
231,0,0,0,985501001,managed,planted,0.040181059502209
232,0,0,0,985503000,unmanaged,natural,0.025557848286371
233,0,0,0,985503000,managed,natural,0.025557848286371
234,0,0,0,985503000,managed,planted,0.025557848286371
235,0,0,0,985502005,managed,planted,0.0
236,0,0,0,985502003,unmanaged,natural,0.100229112332958
237,0,0,0,985502003,managed,natural,0.100229112332958
238,0,0,0,985502003,managed,planted,0.100229112332958
239,0,0,0,985503003,unmanaged,natural,0.001621487376392
240,0,0,0,985503003,managed,natural,0.001621487376392
241,0,0,0,985503003,managed,planted,0.001621487376392
242,0,0,0,985501000,unmanaged,planted,0.064092522533904
243,0,0,0,985501000,managed,planted,0.064092522533904
244,0,0,0,985502004,managed,planted,0.0
245,0,0,0,985501000,unmanaged,natural,0.062234772963905
246,0,0,0,985501000,managed,natural,0.062234772963905
247,0,0,0,985501000,managed,planted,0.062234772963905
248,0,0,0,985503000,unmanaged,planted,0.028028924256773
249,0,0,0,985503000,managed,planted,0.028028924256773
250,0,0,0,985503000,unmanaged,planted,0.041310463478301
251,0,0,0,985503000,managed,planted,0.041310463478301
252,0,0,0,985501000,unmanaged,natural,0.13307449391126
253,0,0,0,985501000,managed,natural,0.13307449391126
254,0,0,0,985501000,managed,planted,0.13307449391126
255,0,0,0,985502001,unmanaged,planted,0.026353078171742
256,0,0,0,985502001,managed,planted,0.026353078171742
257,0,0,0,985502005,unmanaged,planted,0.329204231325771
258,0,0,0,985502005,managed,planted,0.329204231325771
259,0,0,0,985502001,unmanaged,planted,0.074271464488139
260,0,0,0,985502001,managed,planted,0.074271464488139
261,0,0,0,985503000,unmanaged,planted,0.038472568582691
262,0,0,0,985503000,managed,planted,0.038472568582691
263,0,0,0,985503000,unmanaged,planted,0.105302211766717
264,0,0,0,985503000,managed,planted,0.105302211766717
265,0,0,0,985503001,managed,natural,0.0
266,0,0,0,985503000,unmanaged,natural,0.132667026098397
267,0,0,0,985503000,managed,natural,0.132667026098397
268,0,0,0,985503000,managed,planted,0.132667026098397
269,0,0,0,985501001,unmanaged,planted,0.358816271738406
270,0,0,0,985501001,managed,planted,0.358816271738406
271,0,0,0,985503001,unmanaged,planted,0.275929726632394
272,0,0,0,985503001,managed,planted,0.275929726632394
273,0,0,0,985501000,unmanaged,planted,0.011465003408762
274,0,0,0,985501000,managed,planted,0.011465003408762
275,0,0,0,985503000,unmanaged,planted,0.001024240309414
276,0,0,0,985503000,managed,planted,0.001024240309414
277,0,0,0,985502003,unmanaged,natural,1.0
278,0,0,0,985502003,unmanaged,natural,0.217178754622672
279,0,0,0,985502003,managed,natural,0.217178754622672
280,0,0,0,985502003,managed,planted,0.217178754622672
281,0,0,0,985503003,unmanaged,natural,0.049260755467419
282,0,0,0,985503003,managed,natural,0.049260755467419
283,0,0,0,985503003,managed,planted,0.049260755467419
284,0,0,0,985502001,unmanaged,natural,0.254595574410739
285,0,0,0,985502001,managed,natural,0.254595574410739
286,0,0,0,985502001,managed,planted,0.254595574410739
287,0,0,0,985503000,unmanaged,planted,0.006457137616155
288,0,0,0,985503000,managed,planted,0.006457137616155
